display_name_input,display_name_matched,source_id,issn,works_count,host_org
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,Acta Neurobiologiae Experimentalis,https://openalex.org/S87096862,0065-1400|1689-0035,4405,Nencki Institute of Experimental Biology
ACTA NEUROCHIRURGICA,Acta Neurochirurgica,https://openalex.org/S4210178590,0001-6268|0942-0940,12678,Springer Science+Business Media
ACTA NEUROLOGICA BELGICA,Acta Neurologica Belgica,https://openalex.org/S14125373,0300-9009|2240-2993,2414,Springer Science+Business Media
ACTA NEUROLOGICA SCANDINAVICA,Acta Neurologica Scandinavica,https://openalex.org/S66034498,0001-6314|1600-0404,11777,Wiley
ACTA NEUROPATHOLOGICA,Acta Neuropathologica,https://openalex.org/S198620474,0001-6322|1432-0533,9480,Springer Science+Business Media
ACTA NEUROPATHOLOGICA COMMUNICATIONS,Acta Neuropathologica Communications,https://openalex.org/S2764650462,2051-5960,1626,Springer Science+Business Media
ACTA NEUROPSYCHIATRICA,Acta Neuropsychiatrica,https://openalex.org/S173281865,0924-2708|1601-5215,2091,Cambridge University Press
ACTA NUMERICA,Acta Numerica,https://openalex.org/S124973578,0962-4929|1474-0508,238,Cambridge University Press
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Acta Obstetricia Et Gynecologica Scandinavica,https://openalex.org/S192518766,0001-6349|1600-0412,16097,Informa
ACTA OCEANOLOGICA SINICA,Acta Oceanologica Sinica,https://openalex.org/S55118949,0253-505X|1869-1099,3893,Springer Science+Business Media
ACTA ODONTOLOGICA SCANDINAVICA,Acta Odontologica Scandinavica,https://openalex.org/S42091764,0001-6357|1502-3850,4208,Informa
ACTA OF BIOENGINEERING AND BIOMECHANICS,Acta of Bioengineering and Biomechanics,https://openalex.org/S186271504,1509-409X|2450-6303,376,
ACTA ONCOLOGICA,Acta Oncologica,https://openalex.org/S1043257,0284-186X|1651-226X,6893,Taylor & Francis
ACTA OPHTHALMOLOGICA,Acta Ophthalmologica,https://openalex.org/S21165490,1755-375X|1755-3768,23894,Wiley
